2023-12-30 22:12:655 INFO  HomePage :141 - Clicking on Sign up Link : [[ChromeDriver: chrome on windows (652e67cb8f6c8093eecd25fe366ecd8b)] -> xpath: //a[normalize-space()='Signup / Login']]
2023-12-30 22:12:13 INFO  LoginPage :43 - Getting text from : [[ChromeDriver: chrome on windows (652e67cb8f6c8093eecd25fe366ecd8b)] -> xpath: //h2[normalize-space()='Login to your account']]
2023-12-30 22:12:88 INFO  LoginPage :48 - Entering Email Id into : [[ChromeDriver: chrome on windows (652e67cb8f6c8093eecd25fe366ecd8b)] -> name: email]
2023-12-30 22:12:385 INFO  LoginPage :53 - Entering password into : [[ChromeDriver: chrome on windows (652e67cb8f6c8093eecd25fe366ecd8b)] -> name: password]
2023-12-30 22:12:541 INFO  LoginPage :58 - Clicking on Login Button : [[ChromeDriver: chrome on windows (652e67cb8f6c8093eecd25fe366ecd8b)] -> xpath: //button[normalize-space()='Login']]
2023-12-30 22:12:96 INFO  HomePage :145 - Getting text from : Proxy element for: DefaultElementLocator 'By.cssSelector: li:nth-child(10) a:nth-child(1)'
2023-12-30 22:12:311 INFO  ProductPage :134 - Clicking on add to cart Button1 : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: (//a[@class='btn btn-default add-to-cart'][normalize-space()='Add to cart'])[1]]
2023-12-30 22:12:528 INFO  ProductPage :143 - Clicking on Right Arrow Button : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //u[normalize-space()='View Cart']]
2023-12-30 22:12:569 INFO  ProductPage :172 - Getting Text from : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //a[normalize-space()='Blue Top']]
2023-12-30 22:12:645 INFO  ProductPage :197 - Clicking on Right Arrow Button : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //a[normalize-space()='Proceed To Checkout']]
2023-12-30 22:12:785 INFO  PaymentPage :82 - Clicking on Register Link : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //u[normalize-space()='Register / Login']]
2023-12-30 22:12:271 INFO  SignUpPage :42 - Entering email Id into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> name: name]
2023-12-30 22:12:446 INFO  SignUpPage :46 - Entering email Id into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 22:12:609 INFO  SignUpPage :51 - Clicking on Log out Button : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 22:12:544 INFO  CreateAccountPage :106 - Getting text Enter Account information from : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //b[normalize-space()='Enter Account Information']]
2023-12-30 22:12:603 INFO  CreateAccountPage :111 - Clicking on Title : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: id_gender2]
2023-12-30 22:12:105 INFO  CreateAccountPage :126 - Entering Password into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: password]
2023-12-30 22:12:263 INFO  CreateAccountPage :131 - Entering Day into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: days]
2023-12-30 22:12:600 INFO  CreateAccountPage :136 - Entering Month into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: months]
2023-12-30 22:12:757 INFO  CreateAccountPage :141 - Entering Year into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: years]
2023-12-30 22:12:880 INFO  CreateAccountPage :146 - Clicking on check box for newsletter : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: newsletter]
2023-12-30 22:12:997 INFO  CreateAccountPage :152 - Clicking on check box : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: optin]
2023-12-30 22:12:100 INFO  CreateAccountPage :157 - Entering First name into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: first_name]
